out_addr,known_player,location,spot_market,future_market,cold_wallet
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,binance,china,o,o,
37tRFZw7n94Jddq6TfVs3MbCXmDX6eMfeY,binance,china,o,o,
3JurbUwpsAPqvUkwLM5CtwnEWrNnUKJNoD,binance,china,o,o,
386eAUqL3ZNZPmHeABXLo658DTQuJeLzUR,binance,china,o,o,
3FGKwP7XQA9Gb27if7zQGJSSynbzWLrV3p,binance,china,o,o,
3HxedGVPz8cM5ja6HWJgjaUxhAfa9J4LCP,binance,china,o,o,
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,binance,china,o,o,
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,binance,china,o,o,
bc1qqxf98drymkq5awwtt685l6463tmtumlrvqfxv2,binance,china,o,o,
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,bitfinex,hongkong,o,,
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,bitfinex,hongkong,o,,
3Jnt8EYSLc2FfV7YUGzvU8m35jE1B2iTTC,bitfinex,hongkong,o,,
3BX7VWCwQ4p3WGXdeFzZszbmnFGxKoVJTo,bitfinex,hongkong,o,,
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,bitfinex,hongkong,o,,
3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ,bitmex,us,,o,
35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,bitstamp,uk,o,,
1LFg7FKFDa1bHDM5xVguUetpw42huik2ME,bitstamp,uk,o,,
38gfemn6Ps54si7KeYZrPX3uLpiseuP7sX,bitstamp,uk,o,,
3JaZdj2aQjCaG63bhL29cpm5ySxEthdhWX,bitstamp,uk,o,,
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,bittrex,us,o,,
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,coinbase,us,o,,
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,coinbase,us,o,,
1Cb1G5qFK91fShyaPPZWVFwYFBtqRG7h8D,coinbase,us,o,,
1LyTftu54VMYCv5pq3S4pMzPRMnsYKTESw,coinbase,us,o,,
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,coinbase,us,o,,
1DSh7vX6ed2cgTeKPwufV5i4hSi4pp373h,coinbase,us,o,,
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,huobi,singapore,o,,
3D8qAoMkZ8F1b42btt2Mn5TyN7sWfa434A,huobi,singapore,o,,
36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,huobi,singapore,o,,
1BejpJzSYnydbvbpar1qwrjjMLuQY1c5DF,huobi,singapore,o,,
1CJc8WmP45GrjpWmPgM1TEPd1x7QcR3sfX,huobi,singapore,o,,
16Cn9u31P3NEi76MS7BExn24XEdabcotmT,huobi,singapore,o,,
13HJR2TgK5pbKs6trNCKKZXYjM852x9jis,huobi,singapore,o,,
1EYUwpHcScA26hmUua7PLXxDFxh44a11Ug,huobi,singapore,o,,
1BLo4QYNub1SSJ2K6VHr2vF6NwcxUmV7aM,huobi,singapore,o,,
1KzSMLhbJ2jKXCcZjDVvBHvzPWSUMhqhnZ,huobi,singapore,o,,
16cCbDwh2fzowTUEXumYtaac49uXBZL6b8,huobi,singapore,o,,
12wQC4h7pZa4PRuPQfXaHTQ7Vms8Ngkrwd,huobi,singapore,o,,
1EDj9Wu8uQkEQEfjGDjuvLviG7F9UUG48o,huobi,singapore,o,,
1FVWsRJHwutN2quvvqunPbcR7GovNFnv9K,huobi,singapore,o,,
16JPU7uZzwpn9DjWUSY5fnXSq8M3offyru,huobi,singapore,o,,
1EVhXW5aSMCtiTvzY31nfoN2qiTyLmpzcb,polkadot,coin,,,o
19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6,renBTC,coin,,,o
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,unknown,buyer,,,o
3LtpFPpQhE4pc9MbaDsVqZNat2GeFUKCix,coinbase,us,o,,
3FFgKaYkEf1M73QtzuY9DGqC7VeM2sAQhT,coinbase,us,o,,
bc1q3kgpr9ym5c3hu8wpgwaz6vudsp5wup8vfc6pk0,coinbase,us,o,,
bc1qss5ejcqfrmjm9lfydshanhjkc7wnlhk4khlsj8,coinbase,us,o,,
